,principal component 1,principal component 2,class
394,1.4957863063181835,-1.93285895647726,good
395,1.5421904925164036,-1.8396100777922155,good
396,1.549332212319557,-1.7987390994426107,good
397,1.508164621122842,-1.8820634213136618,good
398,1.5258642826663467,-1.8330748000333335,good
399,1.4954176085731843,-1.8238873348193319,good
400,1.4794171500616045,-1.810735268835122,good
401,1.523578654709021,-1.7928801933774872,good
402,1.49323454730325,-1.8337212025618235,good
403,1.5175417055052476,-1.7736033304893037,good
404,1.4814575703517707,-1.8231195346423341,good
405,1.4446145499686944,-1.8618933764222176,good
406,1.4313445624503578,-1.9082351941622644,good
407,1.4736965978770338,-1.770168948416856,good
408,1.445324319164449,-1.8640719668043444,good
409,1.4513529888283663,-1.8673535244123136,good
410,1.4674440088120213,-1.8247855343193338,good
411,1.4576691206012127,-1.8240665554276687,good
412,1.4398539309247518,-1.8084974277009043,good
413,1.471772998705584,-1.776065213308179,good
414,1.4489424911380355,-1.7645244065280763,good
415,1.4339085646859822,-1.8074265576180641,good
416,1.3264240986379465,-2.0408128545096385,good
417,1.334216398555072,-2.039376095470209,good
418,1.3069047804515705,-2.082988664941777,good
419,1.3242831312346794,-2.0442421920768226,good
420,1.3445067604653214,-1.9985343625026235,good
421,1.3358123435039664,-1.9888551269729713,good
422,1.3477581627486084,-1.8820305628057772,good
423,1.336979474384857,-1.878900919232941,good
424,1.3409719741112023,-1.7544907451575833,good
425,1.362703783732021,-1.7794946290080491,good
426,1.3842773250237144,-1.7385646613279127,good
427,1.3682004533427117,-1.7407174476663572,good
428,1.3703019037259454,-1.7877417250610095,good
429,1.4361919173168876,-1.5406944130740978,good
430,1.3842212609893876,-1.7435898966426784,good
431,1.4451037513483023,-1.7313782871789878,good
432,1.394030422418065,-1.7662985889772882,good
433,1.4161133536864883,-1.6064608785415784,good
434,1.3895398682146756,-1.7057919878399692,good
435,1.425664260779213,-1.6101864423249654,good
436,1.414462618491408,-1.6039971037091445,good
437,1.35413233445685,-1.745798951217946,good
438,1.3792194614250135,-1.6969681611129144,good
439,1.3423137871033313,-1.7436812341743793,good
440,1.3616427030951743,-1.7531887703851474,good
441,1.3941683507031835,-1.5953458751256846,good
442,1.3450668510745885,-1.6853367885103718,good
443,1.3140963627457354,-1.7277771789093903,good
444,1.3250845032407434,-1.6780106137413566,good
445,1.3119453186962724,-1.7406888295503398,good
446,1.3105588719318786,-1.73326633248453,good
447,1.2919990736900298,-1.7292158755709388,good
448,1.3564342335633126,-1.5883713776805701,good
449,1.3298471219756458,-1.7416064835840093,good
450,1.3899069206120809,-1.6036599886304377,good
451,1.3775107923506396,-1.708169591636943,good
452,1.3560757525659881,-1.758515833896012,good
453,1.410008519956386,-1.6145285008714145,good
454,1.3463177309527363,-1.7455148057780536,good
455,1.3765695617632496,-1.6990953299592442,good
456,1.360444632882938,-1.745404745543396,good
457,1.4146404555756602,-1.5474944554228265,good
458,1.3181286375476822,-1.7800984733252136,good
459,1.389927252901817,-1.5976140350991135,good
460,1.3042363986768113,-1.7225203685626136,good
461,1.350340476370231,-1.5801221317078726,good
462,1.3009816879356126,-1.662154403671677,good
463,1.2963032452835768,-1.667255239932121,good
464,1.3127862637250833,-1.5730400893633019,good
465,1.3030005984805282,-1.5737675799859847,good
466,1.2854229836711522,-1.6720155403398456,good
467,1.2765962095367054,-1.6730274645606618,good
468,1.273492243119263,-1.7280194212116993,good
469,1.3282264479801984,-1.5831937049953917,good
470,1.3312102958662508,-1.528824133209291,good
471,1.3224681877064235,-1.5282406249780034,good
472,1.32196400313555,-1.5391548081869892,good
473,1.248441282340565,-1.6561831732137957,good
474,1.2209336219454865,-1.70224500040614,good
475,1.2431427759339464,-1.7101146298843963,good
476,1.2817334427669103,-1.5094653178913398,good
477,1.267662562278608,-1.571390250505852,good
478,1.2204541947411176,-1.663967687489835,good
479,1.2627924903456293,-1.5126261000181622,good
480,1.2109759258009034,-1.6578582928384875,good
481,1.2244244782865663,-1.6723051920466108,good
482,1.262154023974731,-1.5756691514002397,good
483,1.2765643064058325,-1.5208427735672745,good
484,1.2159082072220684,-1.7107293765395026,good
485,1.2749161165417044,-1.576273236366979,good
486,1.2773277943747146,-1.5795522241305255,good
487,1.2608914864910596,-1.5668698980011018,good
488,1.2372847061063688,-1.5531139260674258,good
489,1.2627901465717912,-1.5073276247822796,good
490,1.209955841618411,-1.6507803395670404,good
491,1.2177760722515794,-1.6557645781731085,good
492,1.2084313298880924,-1.675369306171418,good
493,1.2377615795517751,-1.6647494746142162,good
494,0.7680688782069003,-1.5241932862853633,good
495,0.36911493574496745,-1.2603558440427127,good
496,0.3082598968493051,-1.2162966786374805,acceptable
497,0.28540177068077044,-1.4023496478792572,acceptable
498,0.41735870233756134,-1.3393201725213528,acceptable
499,0.5199380601508151,-1.3667434463047778,acceptable
500,0.6240509526292418,-1.402971036769782,acceptable
501,0.7633833347469059,-1.2797253641683024,acceptable
502,0.8703619105653583,-1.3224789789795348,acceptable
503,0.9435893768392096,-1.3952865744681346,acceptable
504,0.9892820544572967,-1.4495827860198163,acceptable
505,1.0859190278017896,-1.3743018542783518,acceptable
506,1.1534880283190312,-1.4506845861346793,acceptable
507,1.1727364595015302,-1.4443651350913336,acceptable
508,1.2164177914277152,-1.4480333480664158,acceptable
509,1.2467883985500579,-1.4603805184789427,acceptable
510,1.2505463674114763,-1.5112771696935718,acceptable
511,1.2943057794615267,-1.4125706544050294,acceptable
512,1.3122510898390505,-1.4711280015352248,acceptable
513,1.3268970139701288,-1.416404571298432,acceptable
514,1.329524490458258,-1.4674058717971634,acceptable
515,1.3615530239361533,-1.429309344587692,acceptable
516,1.358233509977527,-1.477635773098577,acceptable
